,T_id,doi,title,abstract,authors,year,publisher,relevant
21455,TA037576,10.2147/IJN.S29945,Antitumor activity of celastrol nanoparticles in a xenograft retinoblastoma tumormodel.,"BACKGROUND: Celastrol, a Chinese herbal medicine, has shown antitumor activityagainst various tumor cell lines. However, the effect of celastrol onretinoblastoma has not yet been analyzed. Additionally, the poor water solubilityof celastrol restricts further therapeutic applications. The goal of this studywas to evaluate the effect of celastrol nanoparticles (CNPs) on retinoblastomaand to investigate the potential mechanisms involved. METHODS: Celastrol-loadedpoly(ethylene glycol)-block-poly(ɛ-caprolactone) nanopolymeric micelles weredeveloped to improve the hydrophilicity of celastrol. The 2-(2-methoxy-4-nitrophenyl)-3-(4-nitrophenyl)-5-(2,4-disulf-ophenyl)-2H tetrazolium monosodiumsalt (WST-8) assay was used to determine the inhibitory effect of CNPs on SO-Rb50 cell proliferation in vitro. Immunofluorescence was used to evaluate theapoptotic effect of CNPs on nuclear morphology, and flow cytometry was used toquantify cellular apoptosis. The expression of Bcl-2, Bax, NF-κB p65, andphospo-NF-κB p65 proteins was assessed by Western blotting. A humanretinoblastoma xenograft model was used to evaluate the inhibitory effects ofCNPs on retinoblastoma in NOD-SCID mice. Hematoxylin and eosin staining was usedto assess the apoptotic effects of CNPs on retinoblastoma. RESULTS: CNPs inhibitthe proliferation of SO-Rb 50 cells in a dose- and time-dependent manner with anIC(50) of 17.733 μg/mL (celastrol-loading content: 7.36%) after exposure to CNPsfor 48 hours. CNPs induce apoptosis in SO-Rb 50 cells in a dose-dependent manner.The expression of Bcl-2, NF-κB p65, and phospo-NF-κB p65 proteins decreased afterexposure to CNPs 54.4 μg/mL for 48 hours. Additionally, the Bax/Bcl-2 ratioincreased, whereas the expression of Bax itself was not significantly altered.CNPs inhibit the growth of retinoblastoma and induce apoptosis in retinoblastomacells in mice. CONCLUSION: CNPs inhibit the growth of retinoblastoma in mousexenograft model by inducing apoptosis in SO-Rb 50 cells, which may be related tothe increased Bax/Bcl-2 ratio and the inhibition of NF-κB. CNPs may represent apotential alternative treatment for retinoblastoma.","Li, Zhanrong, Wu, Xianghua, Li, Jingguo, Yao, Lin, Sun, Limei, Shi, Yingying, Zhang, Wenxin, Lin, Jianxian, Liang, Dan, Li, Yongping",2012,International journal of nanomedicine,2
21468,TA037589,10.3390/md8061731,"In situ aquaculture methods for Dysidea avara (Demospongiae, Porifera) in thenorthwestern Mediterranean.","Marine sponges produce secondary metabolites that can be used as a natural sourcefor the design of new drugs and cosmetics. There is, however, a supply problemwith these natural substances for research and eventual commercialisation of theproducts. In situ sponge aquaculture is nowadays one of the most reliable methodsto supply pharmaceutical companies with sufficient quantities of the targetcompound. In this study, we focus on the aquaculture of the sponge Dysidea avara(Schmidt, 1862), which produces avarol, a sterol with interesting pharmaceuticalattributes. The soft consistency of this species makes the traditional culturemethod based on holding explants on ropes unsuitable. We have tested alternativeculture methods for D. avara and optimized the underwater structures to hold thesponges to be used in aquaculture. Explants of this sponge were mounted onhorizontal ropes, inside small cages or glued to substrates. Culture efficiencywas evaluated by determination of sponge survival, growth rates, and bioactivity(as an indication of production of the target metabolite). While the cage methodwas the best method for explant survival, the glue method was the best one forexplant growth and the rope method for bioactivity.","de Caralt, Sonia, Sánchez-Fontenla, Javier, Uriz, María J, Wijffels, Rene H",2010,Marine drugs,2
21474,TA037595,10.1186/1475-2875-12-312,"Evaluation of two novel tablet formulations of artemether-lumefantrine (Coartem)for bioequivalence in a randomized, open-label, two-period study.","BACKGROUND: Artemether-lumefantrine (Coartem; AL) is a standard of care formalaria treatment as an oral six-dose regimen, given twice daily over three dayswith one to four tablets (20/120 mg) per dose, depending on patient body weight.In order to reduce the pill burden at each dose and potentially enhancecompliance, two novel fixed-dose tablet formulations (80/480 mg and 60/360 mg)have been developed and tested in this study for bioequivalence with theirrespective number of standard tablets. METHODS: A randomized, open-label,two-period, single-dose, within formulation crossover bioequivalence studycomparing artemether and lumefantrine exposure between the novel 80/480 mg tabletand four standard tablets, and the novel 60/360 mg tablet and three standardtablets, was conducted in 120 healthy subjects under fed conditions. Artemether,dihydroartemisinin, and lumefantrine were measured in plasma by HPLC/UPLC-MS/MS.Pharmacokinetic (PK) parameters were determined by non-compartmental analyses.RESULTS: Adjusted geometric mean AUClast for artemether were 345 and 364 ng·h/mL(geometric mean ratio (GMR) 0.95; 90% CI 0.89-1.01) and for lumefantrine were 219and 218 μg·h/mL (GMR 1.00; 90% CI 0.93-1.08) for 80/480 mg tablet versus fourstandard tablets, respectively. Corresponding Cmax for artemether were 96.8 and99.7 ng/mL (GMR 0.97; 90% CI 0.89-1.06) and for lumefantrine were 8.42 and 8.71μg/mL (GMR 0.97; 90% CI 0.89-1.05). For the 60/360 mg tablet versus threestandard tablets, adjusted geometric mean AUClast for artemether were 235 and 231ng·h/mL (GMR 1.02; 90% CI 0.94-1.10), and for lumefantrine were 160 and 180μg·h/mL (GMR 0.89; 90% CI 0.83-0.96), respectively. Corresponding Cmax forartemether were 75.5 and 71.5 ng/mL (GMR 1.06; 90% CI 0.95-1.18), and forlumefantrine were 6.64 and 7.61 μg/mL (GMR 0.87; 90% CI 0.81-0.94), respectively.GMR for Cmax and AUClast for artemether and lumefantrine for all primarycomparisons were within the bioequivalence acceptance criteria (0.80-1.25). Inaddition, secondary PK parameters also met bioequivalence criterion. CONCLUSION:Both of the novel artemether-lumefantrine tablet formulations evaluated arebioequivalent to their respective standard Coartem tablet doses. These novelformulations are easy to administer and may improve adherence in the treatment ofuncomplicated malaria caused by Plasmodium falciparum. CLINICAL TRIALREGISTRATION NUMBER: CTRI/2011/12/002256.","Lefèvre, Gilbert, Bhad, Prafulla, Jain, Jay Prakash, Kalluri, Sampath, Cheng, Yi, Dave, Hardik, Stein, Daniel S",2013,Malaria journal,2
21613,TA037737,10.3390/molecules16086489,Inhibitory effect and possible mechanism of action of patchouli alcohol againstinfluenza A (H2N2) virus.,"In the present study, the anti-influenza A (H2N2) virus activity of patchoulialcohol was studied in vitro, in vivo and in silico. The CC₅₀ of patchoulialcohol was above 20 µM. Patchouli alcohol could inhibit influenza virus with anIC₅₀ of 4.03 ± 0.23 µM. MTT assay showed that the inhibition by patchouli alcoholappears strongly after penetration of the virus into the cell. In the influenzamouse model, patchouli alcohol showed obvious protection against the viralinfection at a dose of 5 mg/kg/day. Flexible docking and molecular dynamicsimulations indicated that patchouli alcohol was bound to the neuraminidaseprotein of influenza virus, with an interaction energy of -40.38 kcal mol⁻¹. Theinvariant key active-site residues Asp151, Arg152, Glu119, Glu276 and Tyr406played important roles during the binding process. Based on spatial and energeticcriteria, patchouli alcohol interfered with the NA functions. Results presentedhere suggest that patchouli alcohol possesses anti-influenza A (H2N2) virusproperties, and therefore is a potential source of anti-influenza agents for thepharmaceutical industry.","Wu, Huaxing, Li, Beili, Wang, Xue, Jin, Mingyuan, Wang, Guonian",2011,"Molecules (Basel, Switzerland)",2
21839,TA037967,10.1093/jxb/err201,Identification and expression pattern of a new carotenoid cleavage dioxygenasegene member from Bixa orellana.,"Carotenoid cleavage dioxygenases (CCDs) are a class of enzymes involved in thebiosynthesis of a broad diversity of secondary metabolites known asapocarotenoids. In plants, CCDs are part of a genetic family with members whichcleave specific double bonds of carotenoid molecules. CCDs are involved in theproduction of diverse and important metabolites such as vitamin A and abscisicacid (ABA). Bixa orellana L. is the main source of the natural pigment annatto orbixin, an apocarotenoid accumulated in large quantities in its seeds. Bixinbiosynthesis has been studied and the involvement of a CCD has been confirmed invitro. However, the CCD genes involved in the biosynthesis of the wide variety ofapocarotenoids found in this plant have not been well documented. In this study,a new CCD1 gene member (BoCCD1) was identified and its expression wascharaterized in different plant tissues of B. orellana plantlets and adultplants. The BoCCD1 sequence showed high homology with plant CCD1s involved mainlyin the cleavage of carotenoids in several sites to generate multipleapocarotenoid products. Here, the expression profiles of the BoCCD1 gene wereanalysed and discussed in relation to total carotenoids and other importantapocarotenoids such as bixin.","Rodríguez-Ávila, N L, Narváez-Zapata, J A, Ramírez-Benítez, J E, Aguilar-Espinosa, M L, Rivera-Madrid, R",2011,Journal of experimental botany,2
22045,TA038173,10.3390/molecules13061333,Characterization of aroma active compounds in fruit juice and peel oil of Jinchensweet orange fruit (Citrus sinensis (L.) Osbeck) by GC-MS and GC-O.,"Gas chromatography-mass spectrometry (GC-MS) and gas chromatography-olfactometry(GC-O) were used to determine the aromatic composition and aroma active compoundsof fruit juice and peel oil of Jinchen sweet orange fruit. Totals of 49 and 32compounds were identified in fruit juice and peel oil, respectively. GC-O wasperformed to study the aromatic profile of Jinchen fruit juice and peel oil. Atotal of 41 components appeared to contribute to the aroma of fruit juice andpeel oil. Twelve components were the odorants perceived in both samples. Thearomatic compositions of fruit juice were more complex than that of peel oil.Ethyl butanoate, beta-myrcene, octanal, linalool, alpha-pinene, and decanal werefound to be responsible for the aromatic notes in fruit juice and peel oil.Nineteen components have been perceived only in the juice and ten compounds weredescribed as aromatic components of only the peel oil by the panelists. Thesedifferences lead to the different overall aroma between fruit juice and peel oil.","Qiao, Yu, Xie, Bi Jun, Zhang, Yan, Zhang, Yun, Fan, Gang, Yao, Xiao Lin, Pan, Si Yi",2008,"Molecules (Basel, Switzerland)",2
22053,TA038182,10.1186/1471-2164-10-465,Global characterization of Artemisia annua glandular trichome transcriptome using454 pyrosequencing.,"BACKGROUND: Glandular trichomes produce a wide variety of commercially importantsecondary metabolites in many plant species. The most prominent anti-malarialdrug artemisinin, a sesquiterpene lactone, is produced in glandular trichomes ofArtemisia annua. However, only limited genomic information is currently availablein this non-model plant species. RESULTS: We present a global characterization ofA. annua glandular trichome transcriptome using 454 pyrosequencing. Sequencingruns using two normalized cDNA collections from glandular trichomes yielded406,044 expressed sequence tags (average length = 210 nucleotides), whichassembled into 42,678 contigs and 147,699 singletons. Performing a secondsequencing run only increased the number of genes identified by approximately30%, indicating that massively parallel pyrosequencing provides deep coverage ofthe A. annua trichome transcriptome. By BLAST search against the NCBInon-redundant protein database, putative functions were assigned to over 28,573unigenes, including previously undescribed enzymes likely involved insesquiterpene biosynthesis. Comparison with ESTs derived from trichomecollections of other plant species revealed expressed genes in common functionalcategories across different plant species. RT-PCR analysis confirmed theexpression of selected unigenes and novel transcripts in A. annua glandulartrichomes. CONCLUSION: The presence of contigs corresponding to enzymes forterpenoids and flavonoids biosynthesis suggests important metabolic activity inA. annua glandular trichomes. Our comprehensive survey of genes expressed inglandular trichome will facilitate new gene discovery and shed light on theregulatory mechanism of artemisinin metabolism and trichome function in A. annua.","Wang, Wei, Wang, Yejun, Zhang, Qing, Qi, Yan, Guo, Dianjing",2009,BMC genomics,2
22226,TA038373,10.1007/s00253-007-0953-5,Functional analysis of genes involved in the biosynthesis of isoprene in Bacillussubtilis.,"In comparison to other bacteria Bacillus subtilis emits the volatile compoundisoprene in high concentrations. Isoprene is the smallest representative of thenatural product group of terpenoids. A search in the genome of B. subtilisresulted in a set of genes with yet unknown function, but putatively involved inthe methylerythritol phosphate (MEP) pathway to isoprene. Further identificationof these genes would give the possibility to engineer B. subtilis as a host cellfor the production of terpenoids like the valuable plant-produced drugsartemisinin and paclitaxel. Conditional knock-out strains of putative genes wereanalyzed for the amount of isoprene emitted. Differences in isoprene emissionwere used to identify the function of the enzymes and of the correspondingselected genes in the MEP pathway. We give proof on a biochemical level thatseveral of these selected genes from this species are involved in isoprenebiosynthesis. This opens the possibilities to investigate the physiologicalfunction of isoprene emission and to increase the endogenous flux to theterpenoid precursors, isopentenyl diphosphate and dimethylallyl diphosphate, forthe heterologous production of more complex terpenoids in B. subtilis.","Julsing, Mattijs K, Rijpkema, Michael, Woerdenbag, Herman J, Quax, Wim J, Kayser, Oliver",2007,Applied microbiology and biotechnology,2
22781,TA038938,10.3390/molecules29225300,"Effect of Protein, Carbohydrate, and Oil on Phytochemical Bioaccessibility andBioactivities of the Ginkgo biloba L. Leaf Formulations After In Vitro Digestion.","The present work evaluates the effect of casein, glucose, and olive oil onphytochemical bioaccessibility, antioxidant potential (DPPH and FRAP),antidiabetic potential (inhibition of amylase, α-glucosidase, and BSA glycation),and antihyperlipidemic potential (inhibition of lipase) of gingko standardizedleaf extract in the form of tablets after in vitro digestion. Gingko extractformulations with protein, carbohydrates, and oil had high (>70%) in vitrobioaccessibility of quercetin, kaempferol, and isorhamnetin after each phases ofdigestion in comparison to moderate (35-70%) in vitro bioaccessibility fromgingko water extract. Formulation with the highest in vitro bioaccessibility ofthe majority of the tested polyphenolic groups and terpene lactones after oraland intestinal phases was ginkgo with olive oil. High (>70%) antioxidant (DPPHand FRAP), antidiabetic (α-glucosidase and BSA glycation), and antihyperlipidemicpotential were detected in almost all ginkgo formulations. Based on the results,we conclude that the in vitro bioaccessibility of individual compounds or groupsof compounds depends on whether the tablets are taken with water or with foods(protein, carbohydrates, and oil).","Rusak, Gordana, Vujčić Bok, Valerija, Šola, Ivana, Nikša, Ema, Maleš, Željan",2024,"Molecules (Basel, Switzerland)",2
22830,TA038987,10.3389/fpls.2024.1368894,Identification and variation analysis of the composition and content of essentialoil and fragrance compounds in Phoebe zhennan wood at different tree ages.,"Wood essential oil and wood products with special fragrances are high value-addedforest products. Despite the availability of essential oil and volatile organiccompounds (VOCs) from Phoebe zhennan wood, their variation and dependence on treeage have not been examined. After essential oil extraction and wood processing,the yields and compositions of essential oils and VOCs in wood from P. zhennantrees of different ages (10a, 30a, and 80a) were determined. The yield ofessential oil from 30a wood was significantly greater than that from 10a and 80awood. Liquid chromatography-mass spectrometry (LC-MS) and gas chromatography-massspectrometry (GC-MS) revealed 672 and 41 volatile compounds, respectively, in theessential oil and wood, the majority of which exhibited large fluctuations inrelative content and composition depending on tree age. Sesquiterpenoids, fattyacids and conjugates may greatly contribute to the main components of essentialoil from wood. Almost all major sesquiterpenoid compounds, such as caryophylleneα-oxide, eudesmo, and cubebene, were identified in the essential oils from the30a and 80a wood, and their relative contents were much greater than those in the10a wood. The main components of the wood fragrance were sesquiterpenoids. Thetypes and relative contents of sesquiterpenoids from wood increased with treeage. These results suggest that choosing wood from trees of a suitable age willsignificantly improve the efficiency of wood utilization.","Yang, Hanbo, Zhang, Shuaiying, Gu, Yunjie, Peng, Jian, Huang, Xin, Guo, Hongying, Chen, Lianghua, Jiang, Yongze, Liu, Minhao, Luo, Xiandan, Xie, Jiaxin, Wan, Xueqin",2024,Frontiers in plant science,2
22910,TA039067,10.3390/ph18010035,"Therapeutic Efficacy of Lavandula dentata's Oil and Ethanol Extract in Regulationof the Neuroinflammation, Histopathological Alterations, Oxidative Stress, andRestoring Balance Treg Cells Expressing FoxP3+ in a Rat Model of Epilepsy.","Background/Objectives: Despite the availability of antiepileptic drugs (AEDs)that can manage seizures, they often come with cognitive side effects.Furthermore, the role of oxidative stress and neuroinflammatory responses inepilepsy and the limitations of current AEDs necessitate exploring alternativetherapeutic options. Medicinal plants, e.g., Lavandula dentata L., are rich inphenolic compounds and may provide neuroprotective and anti-inflammatorybenefits. However, limited research evaluates their effectiveness in modulatingneuroinflammation and histopathological changes in epilepsy models. Therefore,the current study hypothesized that treating Lavandula dentata L. extract oressential oils may reduce neuroinflammatory responses and mitigatehistopathological changes in the brain, providing a natural alternative oradjunct therapy for epilepsy management. Methods: Five groups of male Wistar ratswere used: control, pilocarpine-treated epileptic, valproic acid (VPA-treatedepileptic), L. dentata extract, and essential oils. Numerous electrolyte levels,monoamine levels, neurotransmitter levels, and the mRNA expression of specificgate channel subtypes were evaluated in homogenate brain tissue. Additionally,histological changes in various brain regions were investigated. Results: Theinvestigation revealed that the extract and essential oils obtained from L.dentata L. exhibited the ability to improve the modulation of electrolytes andions across voltage- and ligand-gated ion channels. Furthermore, it was revealedthat they could decrease neuronal excitability by facilitating repolarization.Moreover, L. dentata's oil and ethanol extract re-balances T-reg/Th-17 cytokines,restoring the pro/anti-inflammatory cytokines and Treg markers, e.g., FOXP3 andCTLA-4, to their normal level. Conclusions: The present work confirms that theextract and essential oils of L. dentata L. have different activities toameliorate the progression of histopathological alterations. Therefore, when usedin conjunction with other AEDs, the extract and essential oils of L. dentata canslow the progression of epileptogenesis.","Antar, Aziza, Abdel-Rehiem, Eman S, Al-Khalaf, Areej A, Abuelsaad, Abdelaziz S A, Abdel-Gabbar, Mohamed, Shehab, Gaber M G, Abdel-Aziz, Ayman M",2024,"Pharmaceuticals (Basel, Switzerland)",2
23071,TA039229,10.3390/md22120574,Eremophilane- and Acorane-Type Sesquiterpenes from the Deep-Sea Cold-Seep-DerivedFungus Furcasterigmium furcatum CS-280 Cultured in the Presence of AutoclavedPseudomonas aeruginosa QDIO-4.,"Six new sesquiterpenes, including four eremophilane derivatives fureremophilanesA-D (1-4) and two acorane analogues furacoranes A and B (5 and 6), werecharacterized from the culture extract of the cold-seep derived fungusFurcasterigmium furcatum CS-280 co-cultured with autoclaved Pseudomonasaeruginosa QDIO-4. All the six compounds were highly oxygenated especially 2 and3 with infrequent epoxyethane and tetrahydrofuran ring systems. The structures of1-6 were established on the basis of detailed interpretation of 1D and 2D NMR andMS data. Their relative and absolute configurations were assigned by acombination of NOESY and single crystal X-ray crystallographic analysis, and bytime-dependent density functional (TDDFT) ECD calculations as well. All compoundswere tested the anti-inflammatory activity against human COX-2 protein, amongwhich, compounds 2 and 3 displayed activities with IC(50) values 123.00 µM and93.45 µM, respectively. The interaction mechanism was interpreted by moleculardocking.","Chen, Xiao-Dan, Li, Xin, Li, Xiao-Ming, Yang, Sui-Qun, Wang, Bin-Gui",2024,Marine drugs,2
23268,TA039427,10.1292/jvms.24-0342,In vitro susceptibility testing of essential oils and their main componentsagainst antifungal-resistant Malassezia pachydermatis.,"Canine Malassezia dermatitis (CMD) and otitis externa are generally treated byantifungal drugs. However, azole-resistant strains have been isolated from canineskin and ear canals worldwide. Phytochemicals isolated from essential oils areeffective alternatives for inhibiting Malassezia pachydermatis. To evaluate theusefulness of phytochemicals against azole-resistant isolates, we performed invitro susceptibility testing using the phytochemicals carvacrol, citral, andthymol. Eight antifungal-resistant isolates were obtained from 7 cases ofdermatitis and 1 case of otitis externa during 2022 and 2023 from dogs in Tokyoand Kanagawa, Japan. Fungal susceptibility to carvacrol, citral, and thymol wereassessed using the modified broth microdilution method. The minimum inhibitoryconcentrations (MICs) of the phytochemicals in all isolates were as follows: 0.03to 0.125% for carvacrol; 0.03 to 0.125% for thymol; and 0.03% to 0.125% forcitral. Based on these results, carvacrol, citral, and thymol appear to beeffective against azole-resistant strains. The phytochemicals appear to beeffective for treating antifungal-resistant cases of CMD and otitis externa.","Nojo, Honoka, Murayama, Nobuo, Ishijima, Sanae A, Kano, Rui",2025,The Journal of veterinary medical science,2
23287,TA039446,10.1371/journal.pone.0316178,Research on using Aquilaria sinensis callus to evaluate the agarwood-inducingpotential of fungi.,"Agarwood is a precious resinous heartwood highly valued for its cultural,religious, and medicinal significance. With the increasing market demand, naturalagarwood resources are rapidly depleting, making the development of effectiveartificial induction methods for agarwood highly significant. This study aims toexplore the feasibility of using callus tissue to assess the ability of fungi toinduce agarwood formation. We selected two fungi isolated from Aquilariasinensis, W-1 (Podospora setosa) and W-15 (Alternaria alstroemeriae), and usedthe known agarwood-inducing fungi YMY (Pestalotiopsis sp.) as a positive control,by treating A. sinensis callus with their fermented filtrates. The experimentalresults showed that W-1 and W-15 treatments significantly enhanced the activityof Superoxide dismutase (SOD) and Peroxidase (POD) in the callus tissue andupregulated the expression of 3-hydroxy-3-methylglutaryl-CoA synthase (HMGS),1-deoxy-D-xylulose-5-phosphate reductoisomerase (DXR), and sesquiterpene synthase(ASS-1). GC-MS analysis further confirmed that the contents of sesquiterpenes andaromatic compounds in A. sinensis treated with W-1 and W-15 were significantlyelevated, suggesting that these fungi possess the capacity to induce theformation of agarwood. This study demonstrates that using callus tissue to screenfungi capable of inducing agarwood is feasible and effective, providing newinsights for screening fungi resources that efficiently induce agarwood formationin the future.","Wang, Zhikai, Zhou, Guoying, Chen, Jungang, Miao, Xinyu, Xia, Yandong, Du, Zhuang, Liu, Junang",2024,PloS one,2
23471,TA039632,10.1002/iid3.70015,Efficacy and mechanism of action of ginsenoside Rg3 on radiation proctitis inrats.,"OBJECTIVE: Radiation proctitis (RP) refers to rectal injury caused by radiationtreatment of pelvic and retroperitoneal malignancies, which has a major impact onthe treatment prognosis and quality of life of patients with cancer. Thetetracyclic triterpene saponin monomer ginsenoside Rg3 (GRg3), the primarybioactive ingredient in ginseng extracts, has therapeutic effects against RP inrats. Here, we validated its efficacy and elucidated its mechanism of action.METHODS: A rat RP model was established in 48 Wistar rats. Rats were randomlydivided into control (untreated), irradiation, irradiation + dexamethasone, andirradiation + GRg3 (low-, medium-, and high-dose) groups. After 2 weeks'treatment, serum IL-4, IL-10, and TNF-α levels were tested by enzyme-linkedimmunosorbent assays. In rectal tissue, Ikbkb, Ikka, and Casp8 mRNA expressionwas detected by a reverse transcription-quantitative polymerase chain reaction.IKK-β, IκB-α, p-IκB-α, p50, and caspase-8 protein levels were determined bywestern blot analysis. RESULTS: GRg3 significantly improved the general conditionand histopathological damage in rats with RP. Moreover, GRg3 decreased the levelsof factors that promote inflammation (TNF-α) and increased the levels of factorsthat reduce inflammation (IL-4 and IL-10). GRg3 markedly reduced the activationof NF-κB and caspase-8 signaling pathways. CONCLUSIONS: Thus, GRg3 may reduce theinflammatory response by blocking the NF-κB signaling pathway and improving thebalance of inflammation-related factors. GRg3 may also inhibit intestinal cellapoptosis by suppressing the TNF-α/caspase-8 signaling cascade, thereby reducingradiological rectal injury. Our results verify that GRg3 is a promisingtherapeutic agent for RP treatment and shed light on its mechanism.","Li, Xuxia, Lin, Lili, Duan, Xiaoyu, Dai, Jiuju, Hu, Tingting, Cai, Hongyi",2024,"Immunity, inflammation and disease",2
23713,TA039874,10.1186/s12967-024-05168-w,Blockade of PI3K/AKT signaling pathway by Astragaloside IV attenuates ulcerativecolitis via improving the intestinal epithelial barrier.,"BACKGROUND: The specific pathogenesis of UC is still unclear, but it has beenclear that defects in intestinal barrier function play an important role in it.There is a temporary lack of specific drugs for clinical treatment. AstragalosideIV (AS-IV) is one of the main active ingredients extracted from Astragalus rootand is a common Chinese herbal medicine for the treatment of gastrointestinaldiseases. This study aimed to determine whether AS-IV has therapeutic value forDSS or LPS-induced intestinal epithelial barrier dysfunction in vivo and in vitroand its potential molecular mechanisms. METHODS: The intestinal tissues from UCpatients and colitis mice were collected, intestinal inflammation was observed bycolonoscopy, and mucosal barrier function was measured by immunofluorescencestaining. PI3K/AKT signaling pathway activator YS-49 and inhibitor LY-29 wereadministered to colitic mice to uncover the effect of this pathway on gut mucosalbarrier modulation. Then, network pharmacology was used to screen AstragalosideIV (AS-IV), a core active component of the traditional Chinese medicineAstragalus membranaceus. The potential of AS-IV for intestinal barrier functionrepairment and UC treatment through blockade of the PI3K/AKT pathway was furtherconfirmed by histopathological staining, FITC-dextran, transmission electronmicroscopy, ELISA, immunofluorescence, qRT-PCR, and western blotting. Finally,16 S rRNA sequencing was performed to uncover whether AS-IV can ameliorate UC byregulating gut microbiota homeostasis. RESULTS: Mucosal barrier function wassignificantly damaged in UC patients and murine colitis, and the activatedPI3K/AKT signaling pathway was extensively involved. Both in vivo and vitroshowed that the AS-IV-treated group significantly relieved inflammation andimproved intestinal epithelial permeability by inhibiting the activation of thePI3K/AKT signaling pathway. In addition, microbiome data found that gutmicrobiota participates in AS-IV-mediated intestinal barrier recovery as well.CONCLUSIONS: Our study highlights that AS-IV exerts a protective effect on theintegrality of the mucosal barrier in UC based on the PI3K/AKT pathway, and AS-IVmay serve as a novel AKT inhibitor to provide a potential therapy for UC.","Zhang, Xinhui, Zhang, Fan, Li, Yan, Fan, Na, Zhao, Ke, Zhang, Anding, Kang, Jiefang, Lin, Yan, Xue, Xiaochang, Jiang, Xun",2024,Journal of translational medicine,2
23835,TA039996,10.1186/s12870-024-04933-9,Metabolomics analysis reveals the metabolite profiles of Rheum tanguticum grownunder different altitudinal gradients.,"BACKGROUND: Plant growth and quality are often affected by environmental factors,including geographical location, climate, and soil. In this study, we describethe effect of altitudinal differences on the growth and active ingredients inRheum tanguticum Maxim. ex Balf. (R. tanguticum), a traditional Chinese medicinalherb known for its laxative properties. RESULTS: The results showed that plantsgrown at lower altitudes had better growth performances than those in higheraltitude areas. The yield varied by 2.45-23.68 times with altitude, reaching amaximum of 102.01 t/ha. In addition, total anthraquinone and total sennosidecontents decreased with increasing altitude, whereas total tannins increased withincreasing altitude. The total anthraquinone content of the indicator compoundreached 5.15% at five experimental sites, which exceeded the ChinesePharmacopoeia standard by 70.87%. The content of the other two categories ofactive ingredients reached a maximum value of 0.94% (total sennosides) and 2.65%(total tannins). Redundancy analysis revealed that annual rainfall, annualaverage temperature, annual sunshine hours, and pH significantly affected growthand active ingredients. Moreover, key metabolites, such as flavonoids, aminoacids and their derivatives, phenolic acids, lipids, and terpenes, weredifferentially expressed between samples from low- and high-altitude cultivationareas. These metabolites were enriched in the flavonoid and flavonol biosyntheticpathway and the monoterpene biosynthetic pathway. CONCLUSIONS: These resultssuggest that high anthraquinone content was observed in the lowest-latitudecultivation area due to low rainfall and alkaline soil pH. Key metabolites weresignificantly upregulated in high-latitude cultivation areas. These resultsprovide a scientific basis for quality control and the systematic cultivation ofR. tanguticum.","Wang, Lingling, Zhao, Shuo, Li, Jianan, Zhou, Guoying",2024,BMC plant biology,2
23913,TA040077,10.1093/jxb/erad482,Carotenoid retention during post-harvest storage of Capsicum annuum: the role ofthe fruit surface structure.,"In this study, a chilli pepper (Capsicum annuum) panel for post-harvestcarotenoid retention was studied to elucidate underlying mechanisms associatedwith this commercial trait of interest. Following drying and storage, some lineswithin the panel had an increase in carotenoids approaching 50% compared with theinitial content at the fresh fruit stage. Other lines displayed a 25% loss ofcarotenoids. The quantitative determination of carotenoid pigments withconcurrent cellular analysis indicated that in most cases, pepper fruit withthicker (up to 4-fold) lipid exocarp layers and smooth surfaces exhibit improvedcarotenoid retention properties. Total cutin monomer content increased inmedium/high carotenoid retention fruits and subepidermal cutin deposits wereresponsible for the difference in exocarp thickness. Cutin biosynthesis andcuticle precursor transport genes were differentially expressed betweenmedium/high and low carotenoid retention genotypes, and this supports thehypothesis that the fruit cuticle can contribute to carotenoid retention.Enzymatic degradation of the cuticle and cell wall suggests that in Capsicum thecarotenoids (capsanthin and its esters) are embedded in the lipidic exocarplayer. This was not the case in tomato. Collectively, the data suggest that thefruit cuticle could provide an exploitable resource for the enhancement of fruitquality.","Holden, Alexandra C, Cohen, Hagai, Berry, Harriet M, Rickett, Daniel V, Aharoni, Asaph, Fraser, Paul D",2024,Journal of experimental botany,2
